kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
197632316,https://kolesa.kz/a/show/197632316?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=1,2026-06-05 23:38:54.107013+03:00,Kia,Carnival,"    2020 - н.в. 4 поколение (KA4)
",2024,"
                                    Семей, Абайская область

                            ","    Минивэн
",бензин,3.5,30000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",5,19000000,197632316.webp,https://kolesa-photos.kcdn.online/webp/7b/7b3859d3-bedb-4735-82f0-9fbe75e92c86/4-750x470.webp,True
203325503,https://kolesa.kz/a/show/203325503?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=2,2026-06-05 23:39:02.236137+03:00,Kia,K5,"    2019 - н.в. 3 поколение
",2023,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,1.6,44000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",14,13300000,203325503.webp,https://kolesa-photos.kcdn.online/webp/2a/2af4896a-d5c8-44c5-95bb-a0487e5ece1c/24-750x470.webp,True
222427009,https://kolesa.kz/a/show/222427009?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=3,2026-06-05 23:39:07.425022+03:00,Kia,Sorento,"    2014 - 2017 3 поколение (UM)
",2015,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.4,130000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",0,9500000,,,False
188461325,https://kolesa.kz/a/show/188461325?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=4,2026-06-05 23:39:15.201080+03:00,Kia,Stinger,"    2017 - 2021 1 поколение
",2017,"
                                    Алматы, Алматинская область

                            ","    Лифтбек
",бензин,2.0,122000,"    Автомат
","    Задний привод
","    Слева
","
                                        серый 
                                    ","    Да
",13,11000000,188461325.webp,https://kolesa-photos.kcdn.online/webp/de/de7531fe-4ec8-4bdf-b406-9ed88f1d5910/4-750x470.webp,True
222426462,https://kolesa.kz/a/show/222426462?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=5,2026-06-05 23:39:24.228145+03:00,Kia,Rio,"    2015 - 2017 3 поколение рестайлинг
",2015,"
                                    Актобе, Актюбинская область

                            ","    Седан
",бензин,1.6,125000,"    Автомат
","    Передний привод
","    Слева
","
                                        синий 
                                    ","    Да
",14,5690000,222426462.webp,https://kolesa-photos.kcdn.online/webp/d2/d2904c4e-cbf8-4c21-b121-a1f3d90adee4/2-750x470.webp,True
214396730,https://kolesa.kz/a/show/214396730?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=6,2026-06-05 23:39:31.057887+03:00,Kia,Cerato,"    2016 - 2019 3 поколение рестайлинг (YD)
",2017,"
                                    Караганда, Карагандинская область

                            ","    Седан
",бензин,1.6,160000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",11,6850000,214396730.webp,https://kolesa-photos.kcdn.online/webp/b3/b31ff160-307b-4c6b-92c6-a151c98ec827/1-750x470.webp,True
221851759,https://kolesa.kz/a/show/221851759?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=7,2026-06-05 23:39:38.743995+03:00,Kia,Rio,"    2011 - 2015 3 поколение (UB)
",2013,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,1.6,150000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",12,4200000,221851759.webp,https://kolesa-photos.kcdn.online/webp/1e/1e0d65a1-d8e8-42ea-8b7c-a1e8b5bdbb18/3-750x470.webp,True
222425473,https://kolesa.kz/a/show/222425473?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=8,2026-06-05 23:39:47.147915+03:00,Kia,Sportage,"    2014 - 2016 3 поколение рестайлинг (QL/QLE)
",2014,"
                                    Актобе, Актюбинская область

                            ","    Кроссовер
",бензин,2.0,159000,"    Автомат
","    Полный привод
","    Слева
","
                                        белый 
                                    ","    Да
",11,6980000,222425473.webp,https://kolesa-photos.kcdn.online/webp/ad/adb03c03-150e-408f-bc34-a1f3d4044d58/3-750x470.webp,True
220043643,https://kolesa.kz/a/show/220043643?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=9,2026-06-05 23:39:54.963428+03:00,Kia,Sportage,"    2018 - н.в. 4 поколение рестайлинг
",2019,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.0,116000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",9,9500000,220043643.webp,https://kolesa-photos.kcdn.online/webp/cf/cf4cadae-d983-4ae2-8884-a1c4babe6d64/2-750x470.webp,True
216435269,https://kolesa.kz/a/show/216435269?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=10,2026-06-05 23:40:01.539003+03:00,Kia,Rio,"    2011 - 2015 3 поколение (UB)
",2013,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,1.6,300000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",8,4600000,216435269.webp,https://kolesa-photos.kcdn.online/webp/3d/3df454c6-3a0f-45c8-bff2-a17e4bbd66de/2-750x470.webp,True
218153803,https://kolesa.kz/a/show/218153803?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=11,2026-06-05 23:40:08.423101+03:00,Kia,Carnival,"    2014 - 2020 3 поколение (YP)
",2015,"
                                    Шымкент, Туркестанская область

                            ","    Минивэн
",дизель,2.2,156000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",33,11400000,218153803.webp,https://kolesa-photos.kcdn.online/webp/dc/dcf5c8af-091e-4ef6-8389-a1a0742fac3c/34-750x470.webp,True
221709993,https://kolesa.kz/a/show/221709993?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=12,2026-06-05 23:40:14.160484+03:00,Kia,K5,"    2010 - 2013 1 поколение
",2012,"
                                    Актау, Мангистауская область

                            ","    Седан
",бензин,2.0,60000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",4,4150000,221709993.webp,https://kolesa-photos.kcdn.online/webp/87/870fb575-136d-4500-96c2-a1e55dbec1b3/3-750x470.webp,True
221336596,https://kolesa.kz/a/show/221336596?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=13,2026-06-05 23:40:23.098315+03:00,Kia,Sorento,"    2023 - н.в. 4 поколение рестайлинг (MQ4/MQ4A)
",2024,"
                                    Костанай, Костанайская область

                            ","    Кроссовер
",бензин,2.5,38740,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",93,16300000,221336596.webp,https://kolesa-photos.kcdn.online/webp/59/5959d6d5-dd6e-4ba0-9264-a1ddab46c6ae/3-750x470.webp,True
214917663,https://kolesa.kz/a/show/214917663?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=14,2026-06-05 23:40:30.280781+03:00,Kia,K7,"    2019 - 2021 2 поколение рестайлинг
",2019,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,3.0,125000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный 
                                    ","    Да
",26,13500000,214917663.webp,https://kolesa-photos.kcdn.online/webp/aa/aa133325-8aa8-4124-a8e3-a15e19a683af/2-750x470.webp,True
222182245,https://kolesa.kz/a/show/222182245?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=15,2026-06-05 23:40:38.751734+03:00,Kia,Sportage,"    2021 - н.в. 5 поколение
",2024,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
",бензин,2.5,46603,"    Автомат
","    Полный привод
","    Слева
","
                                        черный 
                                    ","    Да
",23,14790000,222182245.webp,https://kolesa-photos.kcdn.online/webp/98/989d293a-f4be-45bc-9066-a1ef17e1ab84/1-750x470.webp,True
221914520,https://kolesa.kz/a/show/221914520?search_id=035b53270481ce99a846c8d5bbc61a7d31357dad&search_type=filter&advert_position=16,2026-06-05 23:40:45.800891+03:00,Kia,Optima,"    2018 - н.в. 4 поколение рестайлинг
",2020,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.4,177000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",15,7650000,221914520.webp,https://kolesa-photos.kcdn.online/webp/3e/3ec28d07-4b1e-4e93-9573-a1e99aeb4df3/15-750x470.webp,True
222417801,https://kolesa.kz/a/show/222417801?search_id=c2e345d3bb4722062879c71a54eefc95b2b25a31&search_type=filter&advert_position=42,2026-06-05 23:42:44.488602+03:00,Kia,Sportage,"    2014 - 2016 3 поколение рестайлинг (QL/QLE)
",2015,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.0,166000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",4,7000000,222417801.webp,https://kolesa-photos.kcdn.online/webp/67/67bffa03-d28a-4581-891b-a1f3b3579499/1-750x470.webp,True
222009491,https://kolesa.kz/a/show/222009491?search_id=c2e345d3bb4722062879c71a54eefc95b2b25a31&search_type=filter&advert_position=43,2026-06-05 23:42:51.917765+03:00,Kia,Cee'd,"    2012 - 2015 2 поколение (JD)
",2013,"
                                    Алматы, Алматинская область

                            ","    Хэтчбек
",бензин,1.6,300000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",14,4200000,222009491.webp,https://kolesa-photos.kcdn.online/webp/c5/c5d63e1c-4d00-4d5e-9a18-a1eb84e7909c/5-750x470.webp,True
222306470,https://kolesa.kz/a/show/222306470?search_id=c2e345d3bb4722062879c71a54eefc95b2b25a31&search_type=filter&advert_position=44,2026-06-05 23:42:59.277880+03:00,Kia,Sorento,"    2014 - 2017 3 поколение (UM)
",2015,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.4,161000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",34,10500000,222306470.webp,https://kolesa-photos.kcdn.online/webp/88/88c871c4-735f-4205-943a-a1f1781c64d8/1-750x470.webp,True
222271271,https://kolesa.kz/a/show/222271271?search_id=c2e345d3bb4722062879c71a54eefc95b2b25a31&search_type=filter&advert_position=45,2026-06-05 23:43:07.315102+03:00,Kia,Rio,"    2017 - 2020 4 поколение
",2020,"
                                    Астана, Акмолинская область

                            ","    Хэтчбек
",бензин,1.6,171234,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",27,6590000,222271271.webp,https://kolesa-photos.kcdn.online/webp/48/48733e2f-3566-4f72-acc5-a1f0f3787909/26-750x470.webp,True
219956500,https://kolesa.kz/a/show/219956500?search_id=c2e345d3bb4722062879c71a54eefc95b2b25a31&search_type=filter&advert_position=46,2026-06-05 23:43:16.598418+03:00,Kia,Rio X-Line,"    2020 - 2022 1 поколение рестайлинг
",2021,"
                                    Кызылорда, Кызылординская область

                            ","    Хэтчбек
",бензин,1.6,66000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",11,7500000,219956500.webp,https://kolesa-photos.kcdn.online/webp/0b/0b3c6119-aea6-4875-ae6e-a1c3016f2336/13-750x470.webp,True
